Complaint,CodedMonth,DateOccur,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,CADAddress,CADStreet,XCoord,YCoord
18-030197,2018-07,7/2/2018 7:50,266510,3,PUBLIC ORDER-TRESPASSING,2851,GRAVOIS AVE,24,2847,PESTALOZZI,897916.5,1008451
18-030206,2018-07,7/2/2018 7:50,43026,4,ASSLT-AGGRAV-OTH-WPN-3RD-CHILD-DOMESTIC,1201,N LEONARD AVE,77,1201,LEONARD,898774.8,1023655
18-030454,2018-07,7/2/2018 8:00,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3946,DUNNICA AVE,16,3946,DUNNICA,890577.3,1003043
18-031664,2018-07,7/2/2018 8:06,67701,4,LARCENY-FROM BUILDING UNDER $500,700,CLARK AVE,35,700,CLARK,907901.1,1016212
18-030508,2018-07,7/2/2018 8:30,71013,5,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,5720,NATURAL BRIDGE AVE,50, , ,885698.6,1038408
18-030198,2018-07,7/2/2018 8:42,64701,4,LARCENY-FROM MTR VEH UNDER $500,604,PINE ST,35,500,PINE,908422.1,1017299
18-030195,2018-07,7/2/2018 8:53,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3836,MICHIGAN AVE,16,3836,MICHIGAN,895359.3,1002436
18-031547,2018-07,7/2/2018 9:00,67701,6,LARCENY-FROM BUILDING UNDER $500,4343,W FLORISSANT AVE,68,4343,FLORISSANT,898752.8,1036892
18-032495,2018-07,7/2/2018 9:00,264100,3,HEALTH-SANITATION VIOL,2226,JULES ST,23,2226,JULES,900649.3,1010458
18-030429,2018-07,7/2/2018 9:12,63701,1,LARCENY-SHOPLIFT UNDER $500,4930,CHRISTY BLVD,5,4930,CHRISTY,884082.3,1001677
18-030199,2018-07,7/2/2018 9:20,63701,6,LARCENY-SHOPLIFT UNDER $500,3720,N KINGSHIGHWAY BLVD,69,3720,KINGSHIGHWAY,891316,1035410
18-033171,2018-07,7/2/2018 9:20,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3720,N KINGSHIGHWAY BLVD,69,3720,KINGSHIGHWAY,891316,1035410
18-030203,2018-07,7/2/2018 9:31,266510,1,PUBLIC ORDER-TRESPASSING,4412,GANNETT ST,5,4412,GANNETT,886067.6,1001795
18-030222,2018-07,7/2/2018 9:35,63701,4,LARCENY-SHOPLIFT UNDER $500,4038,N GRAND BLVD,67,4038,GRAND,901867.4,1030898
18-030219,2018-07,7/2/2018 9:35,92000,2,SIMPLE ASSAULT-HARRASSMENT,1110,HIGHLANDS PLAZA DR E,41,1110,HIGHLANDER PLAZA,882701.4,1017871
18-030208,2018-07,7/2/2018 9:51,265321,2,LEAVING SCENE OF ACCIDENT,4435,CHIPPEWA ST,15,4435,CHIPPEWA,886488.3,1004223
18-030223,2018-07,7/2/2018 9:55,51122,3,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,3122,NEBRASKA AVE,30,3122,NEBRASKA,897162.4,1007449
18-030236,2018-07,7/2/2018 10:00,65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999",0,CHIPPEWA ST / HAMPTON AVE,7,7450,HAMPTON,879018.3,1005017
18-030398,2018-07,7/2/2018 10:00,72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,0,N 2ND ST / MAY ST,64, , ,905302.9,1034050
18-030217,2018-07,7/2/2018 10:30,265321,2,LEAVING SCENE OF ACCIDENT,6524,MANCHESTER AVE,10,6524,MANCHESTER,878105.9,1014741
18-030220,2018-07,7/2/2018 10:30,43016,5,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,0,DELMAR BLVD / DES PERES AVE,46, , ,878856.8,1027361
18-030215,2018-07,7/2/2018 10:35,71040,3,AUTO THEFT-PERM RETNT/ATTEMPT,3929,PENNSYLVANIA AVE,16,3929,PENNSYLVANIA,895733.4,1001787
18-034769,2018-07,7/2/2018 10:36,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",374,S GRAND BLVD,37,374,GRAND,895980.2,1018849
18-031471,2018-07,7/2/2018 10:49,122000,4,EMBEZZLEMENT-VALUE UNDER $150,1211,PINE ST,36,1211,PINE,906366.8,1018135
18-030314,2018-07,7/2/2018 11:00,52322,4,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,2543,N GRAND BLVD,59,2543,GRAND,899361.5,1026965
18-030353,2018-07,7/2/2018 11:00,67701,2,LARCENY-FROM BUILDING UNDER $500,1,GOVERNMENT DR,82,4041,LABADIE,880639.5,1020186
18-031472,2018-07,7/2/2018 11:00,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3279,SULPHUR AVE,14,3279,SULPHUR,880389.4,1008226
18-030323,2018-07,7/2/2018 11:00,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3742,SALENA ST,18,3742,SALENA,899897,1002314
18-030368,2018-07,7/2/2018 11:00,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4451,FOREST PARK AVE,38,4451,FOREST PARK,889537.3,1021388
18-030230,2018-07,7/2/2018 11:10,265321,3,LEAVING SCENE OF ACCIDENT,2914,UTAH ST,30, , ,896923.3,1006061
18-030320,2018-07,7/2/2018 12:00,64601,6,"LARCENY-FROM MTR VEH $500 - $24,999",511,WITHERS AVE,64,511,WITHERS,903579.1,1036761
18-030613,2018-07,7/2/2018 12:00,64701,2,LARCENY-FROM MTR VEH UNDER $500,3318,ROGER PL,15,3318,ROGER,890747,1006484
18-030761,2018-07,7/2/2018 12:00,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE,5005,LOUISIANA AVE,16,5005,LOUISIANA,891963.4,997139.8
18-030448,2018-07,7/2/2018 12:03,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2711,MIAMI ST,19,2711,MIAMI,897700.5,1003981
18-030257,2018-07,7/2/2018 12:56,265321,6,LEAVING SCENE OF ACCIDENT,0,N BROADWAY / SWITZER AVE,86, , ,897208.8,1045886
18-030347,2018-07,7/2/2018 13:00,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,4720,S BROADWAY,17,4720,BROADWAY,895912.1,996407
18-030280,2018-07,7/2/2018 13:00,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4657,LEONA ST,5,4657,LEONA,889110.2,999895.4
18-030258,2018-07,7/2/2018 13:14,182130,5,DRUGS-POSSESSION/HEROIN,5093,WELLS AVE,51,5093,WELLS,887338.5,1030529
18-030254,2018-07,7/2/2018 13:26,250000,5,LOITERING-BEGGING,0,FOREST PARK PKWY / S KINGSHIGH,38, , ,887198.4,1021913
18-030417,2018-07,7/2/2018 13:30,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",750,N 16TH ST,36,701,15TH,905491.3,1019784
18-030326,2018-07,7/2/2018 13:30,67701,4,LARCENY-FROM BUILDING UNDER $500,1,S BROADWAY,35,1,BROADWAY,908726.1,1016735
18-030346,2018-07,7/2/2018 13:30,42016,6,ASSLT-AGGRV-KNIFE/CUT-3RD-ADULT-DOMESTIC,1543,MCLARAN AVE,74,1543,MCLARAN,894000,1049676
18-030269,2018-07,7/2/2018 14:01,151130,6,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,1643,VERONICA AVE,73,1643,VERONICA,893101.8,1050810
18-030272,2018-07,7/2/2018 14:21,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1613,UNION BLVD,50, , ,886706.6,1031909
18-030272,2018-07,7/2/2018 14:21,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1613,UNION BLVD,50, , ,886706.6,1031909
18-030272,2018-07,7/2/2018 14:21,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1613,UNION BLVD,50, , ,886706.6,1031909
18-030272,2018-07,7/2/2018 14:21,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1613,UNION BLVD,50, , ,886706.6,1031909
18-030279,2018-07,7/2/2018 14:50,43012,1,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,0,ITASKA ST / OREGON AVE,17, , ,895766.6,996831.4
18-030321,2018-07,7/2/2018 14:55,67601,6,"LARCENY-FROM BUILDING $500 - $24,999",6124,N BROADWAY,79,6124,BROADWAY,900558.8,1038456
18-030274,2018-07,7/2/2018 14:59,32111,5,ROBBERY-RESIDENCE/FIREARM USED/SUCCESSFUL,5805,SELBER CT,50,5805,SELBER,884807.3,1037849
18-030362,2018-07,7/2/2018 15:00,66701,1,LARCENY-BICYCLES UNDER $500,4454,BEETHOVEN AVE,5,4454,BEETHOVEN,886014.3,1003134
18-030388,2018-07,7/2/2018 15:00,65701,4,LARCENY-MTR VEH PARTS UNDER $500,814,N 19TH ST,36,814,19TH,904290.5,1020354
18-030297,2018-07,7/2/2018 15:00,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,500,S GRAND BLVD,37,3560,SCOTT,895911,1018621
18-030278,2018-07,7/2/2018 15:18,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,400,OLIVE ST,35,211,BROADWAY,909245.6,1017409
18-030394,2018-07,7/2/2018 15:30,65601,3,"LARCENY-MTR VEH PARTS $500 - $24,999",0,S 6TH ST / LASALLE ST,34, , ,907474.6,1013570
18-030349,2018-07,7/2/2018 15:30,69702,5,LARCENY-ALL OTHER UNDER $500,400,S KINGSHIGHWAY BLVD,38,400,KINGSHIGHWAY,887074.8,1020998
18-030291,2018-07,7/2/2018 15:30,31111,3,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,3351,S JEFFERSON AVE,30,3351,JEFFERSON,898584.6,1005182
18-030287,2018-07,7/2/2018 15:45,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",8102,N BROADWAY,74,8102,BROADWAY,897248.1,1047689
18-030281,2018-07,7/2/2018 15:45,91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,717,N 16TH ST,36, , ,905459.8,1019591
18-030290,2018-07,7/2/2018 16:00,265321,2,LEAVING SCENE OF ACCIDENT,0,HAMPTON AVE / I 64 WESTBOUND,41, , ,881198,1018837
18-030510,2018-07,7/2/2018 16:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,2843,MISSOURI AVE,22,2843,MISSOURI,899732.4,1007918
18-031517,2018-07,7/2/2018 16:00,69702,4,LARCENY-ALL OTHER UNDER $500,3124,PRAIRIE AVE,59,3124,PRAIRIE,899706.9,1029469
18-030293,2018-07,7/2/2018 16:14,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3725,MINNESOTA AVE,19,3725,MINNESOTA,895617.9,1003176
18-030305,2018-07,7/2/2018 16:49,63701,4,LARCENY-SHOPLIFT UNDER $500,444,WASHINGTON AVE,35, , ,909581.6,1018292
18-030295,2018-07,7/2/2018 16:53,265321,4,LEAVING SCENE OF ACCIDENT,3635,FOREST PARK AVE,37, , ,895769.3,1019749
18-030402,2018-07,7/2/2018 17:00,64601,1,"LARCENY-FROM MTR VEH $500 - $24,999",7019,MICHIGAN AVE,1,7019,MICHIGAN,889804.5,990444.9
18-030523,2018-07,7/2/2018 17:00,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",4870,FOUNTAIN AVE,53,4870,FOUNTAIN,888872.8,1027343
18-030418,2018-07,7/2/2018 17:00,265321,3,LEAVING SCENE OF ACCIDENT,3422,S COMPTON AVE,19,3422,COMPTON,895461,1005213
18-030456,2018-07,7/2/2018 17:00,69702,4,LARCENY-ALL OTHER UNDER $500,430,S 15TH ST,36,430,15TH,904845.8,1016613
18-030308,2018-07,7/2/2018 17:30,265321,6,LEAVING SCENE OF ACCIDENT,0,BIRCHER BLVD / N KINGSHIGHWAY,71, , ,892933.4,1038924
18-030306,2018-07,7/2/2018 17:32,265321,2,LEAVING SCENE OF ACCIDENT,3282,JAMIESON AVE,9, , ,875303.8,1008788
18-030309,2018-07,7/2/2018 17:50,229999,4,LIQUOR LAWS-OTHR UNSPEC LIQ OFFNSE,400,N 9TH ST,35, , ,907857.7,1018282
18-030432,2018-07,7/2/2018 18:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,1914,GEYER AVE,23,1914,GEYER,901860.5,1011382
18-030516,2018-07,7/2/2018 18:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,S KINGSHIGHWAY BLVD / PARKVIEW,38,4949, ,887130.3,1021402
18-035049,2018-07,7/2/2018 18:00,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5005,LOUISIANA AVE,16,5001,LOUISIANA,891963.4,997139.8
18-030374,2018-07,7/2/2018 18:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,1,BUSCH PL,21, , ,903092.8,1006940
18-030313,2018-07,7/2/2018 18:04,178200,4,SEX OFFNS-EXPOSURE/EXPOSING PERSON,2800,SAMUEL SHEPARD DR,37,2800,SAMUEL SHEPARD,0,0
18-030419,2018-07,7/2/2018 18:30,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6232,ALAMO AVE,45,6232,ALAMO,875691.3,1019782
18-030533,2018-07,7/2/2018 18:30,67701,3,LARCENY-FROM BUILDING UNDER $500,3227,INDIANA AVE,22,3227,INDIANA,899087.6,1005961
18-031356,2018-07,7/2/2018 18:30,71040,3,AUTO THEFT-PERM RETNT/ATTEMPT,0,S BROADWAY / CHIPPEWA ST,18, , ,898455.2,1002491
18-030325,2018-07,7/2/2018 19:07,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,2048,E DE SOTO AVE,66, , ,902272,1034265
18-030331,2018-07,7/2/2018 19:15,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3923,MICHIGAN AVE,16,3923,MICHIGAN,895093.6,1001948
18-030334,2018-07,7/2/2018 19:20,63701,3,LARCENY-SHOPLIFT UNDER $500,3430,S GRAND BLVD,25,3430,GRAND,893788.8,1005469
18-030333,2018-07,7/2/2018 19:21,41201,3,AGG.ASSAULT-FIREARM/POLC.OFFICER  1ST DEGREE,0,S GRAND BLVD / I 44 WESTBOUND,31, , ,894727.1,1013527
18-030390,2018-07,7/2/2018 19:30,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,462,WHITTIER ST,38,462,WHITTIER,892480.1,1023210
18-030411,2018-07,7/2/2018 19:30,69702,1,LARCENY-ALL OTHER UNDER $500,6740,VERMONT AVE,1,6740,VERMONT,889919.4,991281.7
18-030819,2018-07,7/2/2018 19:47,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,2498,OHIO AVE,24,2498,OHIO,898881.5,1010036
18-030329,2018-07,7/2/2018 19:55,250000,4,LOITERING-BEGGING,0,4TH AVE / WASHINGTON AVE,35, , ,868738.8,1060352
18-031146,2018-07,7/2/2018 19:59,63701,2,LARCENY-SHOPLIFT UNDER $500,5120,HAMPTON AVE,7,5120,HAMPTON,879479.8,1001720
18-030492,2018-07,7/2/2018 20:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,0,S 13TH ST / LYNCH ST,21, , ,902010.8,1007702
18-030338,2018-07,7/2/2018 20:00,265321,3,LEAVING SCENE OF ACCIDENT,1434,PEABODY CT,33,1434,PEABODY,904206.2,1013767
18-030336,2018-07,7/2/2018 20:04,91303,6,SIMPLE ASSAULT-POLICE OFFICER/NO INJURY,3614,KOSSUTH AVE,83, , ,901419.6,1031256
18-030557,2018-07,7/2/2018 20:15,265321,6,LEAVING SCENE OF ACCIDENT,0,I 70 EASTBOUND / UNION BLVD,70, , ,891197.8,1039591
18-030340,2018-07,7/2/2018 20:45,182260,6,DRUGS-POSSESSION/METHAMPHETAMINE,8723,RIVERVIEW BLVD,74,8723,RIVERVIEW,894049.5,1050021
18-030365,2018-07,7/2/2018 21:00,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3009,PENNSYLVANIA AVE,25,3009,PENNSYLVANIA,896671.4,1008122
18-030342,2018-07,7/2/2018 21:02,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6301,FYLER AVE,9,6301,FYLER,878608,1008328
18-030351,2018-07,7/2/2018 21:13,34111,5,ROBBERY-CONVEN STOR/FIREARM USED/SUCCESS,5892,DELMAR BLVD,46,5892,DELMAR,880077.9,1027128
18-030343,2018-07,7/2/2018 21:14,266510,4,PUBLIC ORDER-TRESPASSING,3515,GREER AVE,59,3515,GREER,900585.4,1028362
18-030358,2018-07,7/2/2018 21:30,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,5300,MACKLIND AVE,7,5300,MACKLIND,881710.7,1000911
18-030358,2018-07,7/2/2018 21:30,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,5300,MACKLIND AVE,7,5300,MACKLIND,881710.7,1000911
18-030345,2018-07,7/2/2018 21:39,51221,2,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED,3609,HOLT AVE,15,3609,HOLT,889280.8,1004579
18-030355,2018-07,7/2/2018 22:00,265321,2,LEAVING SCENE OF ACCIDENT,0,CHIPPEWA ST / JAMIESON AVE,8, , ,874769.4,1003366
18-030559,2018-07,7/2/2018 22:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,5475,CABANNE AVE,49,5475,CABANNE,883631.8,1028675
18-030399,2018-07,7/2/2018 22:00,10000,6,HOMICIDE,724,BADEN AVE,74, , ,897340.6,1047905
18-030357,2018-07,7/2/2018 22:20,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,416,WILMINGTON AVE,1,416,WILMINGTON,892286.3,993269.8
18-030360,2018-07,7/2/2018 22:30,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,4617,GUSTINE TER,5,4617,GUSTINE,889842.4,999886.1
18-030360,2018-07,7/2/2018 22:30,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,4617,GUSTINE TER,5,4617,GUSTINE,889842.4,999886.1
18-030356,2018-07,7/2/2018 22:35,266510,4,PUBLIC ORDER-TRESPASSING,801,LOCUST ST,35,800,LOCUST,908096.1,1018265
18-030359,2018-07,7/2/2018 22:54,266510,5,PUBLIC ORDER-TRESPASSING,0,CLARA AVE / WELLS AVE,78,1383,SHAWMUT,883907.8,1032486
18-030395,2018-07,7/2/2018 23:00,67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2438,N SPRING AVE,59,2438,SPRING,898846.4,1026726
18-030369,2018-07,7/2/2018 23:10,41021,1,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4732,LOUISIANA AVE,16,4732,LOUISIANA,892369.7,997391.9
18-030463,2018-07,7/2/2018 23:15,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1615,S TUCKER BLVD,33,1615,TUCKER,904295.1,1012245
18-030366,2018-07,7/2/2018 23:19,265321,4,LEAVING SCENE OF ACCIDENT,0,CEDAR ST / I 55 NORTHBOUND,35, , ,908838.9,1014245
18-030363,2018-07,7/2/2018 23:25,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1127,HICKORY ST,34,1127,HICKORY,905423.9,1013560
18-030364,2018-07,7/2/2018 23:30,265321,2,LEAVING SCENE OF ACCIDENT,6400,JAMIESON AVE,8, , ,876731.6,998189.3
18-030379,2018-07,7/3/2018 0:01,31421,6,ROBBERY-HIGHWAY  /STRNGARM/NO INJ/SUCCESS,4323,N GRAND BLVD,67,4204,22ND,902489.9,1032480
18-030371,2018-07,7/3/2018 0:30,182250,6,DRUGS-POSSESSION/COCAINE,4226,HARRIS AVE,68,4226,HARRIS,898471.6,1034126
18-030377,2018-07,7/3/2018 0:54,43012,6,AGG.ASSAULT-OTH DANG WEP/CTZEN ADLT 2ND DEGREE,4531,NATURAL BRIDGE AVE,69,4531,NATURAL BRIDGE,894416.9,1033585
18-030372,2018-07,7/3/2018 1:26,41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4570,OAKLAND AVE,39,4570,OAKLAND,887860.1,1017602
18-030376,2018-07,7/3/2018 1:30,204100,5,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,5506,NATURAL BRIDGE AVE,50, , ,887508.4,1037088
18-030375,2018-07,7/3/2018 1:50,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4746,ROSALIE ST,71,4742,ROSALIE,895943.8,1039228
18-030373,2018-07,7/3/2018 1:51,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,1,EADS BRG,35,1,EADS,911055.5,1018252
18-030378,2018-07,7/3/2018 2:22,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,614,FREMONT AVE,74,614,FREMONT,898304.6,1052393
18-030838,2018-07,7/3/2018 2:30,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3608,N GRAND BLVD,59,3528,GRAND,901058.4,1029421
18-030382,2018-07,7/3/2018 2:50,41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1702,CORA AVE,56,4711,PAGE,891382,1029333
18-030387,2018-07,7/3/2018 3:00,51221,6,BURGLARY-RESIDENCE/NIT/UNLAW ENT/OCCUPIED,5487,UNION BLVD,71,5487,UNION,894547.8,1042034
18-030776,2018-07,7/3/2018 3:00,52312,6,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED,5009,UNION BLVD,71,5009,UNION,892226.5,1040403
18-030383,2018-07,7/3/2018 3:35,92000,3,SIMPLE ASSAULT-HARRASSMENT,3530,MIAMI ST,19,3530,MIAMI,893585.5,1004337
18-030381,2018-07,7/3/2018 3:40,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,S JEFFERSON AVE / SIDNEY ST,23, , ,899462.4,1009422
18-030558,2018-07,7/3/2018 4:50,69702,1,LARCENY-ALL OTHER UNDER $500,8020,ZELLIE AVE,1,8020,ZELLIE,884567,989868.6
18-030445,2018-07,7/3/2018 6:00,63701,5,LARCENY-SHOPLIFT UNDER $500,4251,LINDELL BLVD,38,4251,LINDELL,891587.9,1022423
18-030529,2018-07,7/3/2018 6:08,67701,1,LARCENY-FROM BUILDING UNDER $500,3918,WALSH ST,5,3918,WALSH,888884.7,998380.1
18-030389,2018-07,7/3/2018 6:45,250000,3,LOITERING-BEGGING,0,S GRAND BLVD / I 44 EASTBOUND,26, , ,894721.8,1013493
18-030672,2018-07,7/3/2018 7:00,65701,5,LARCENY-MTR VEH PARTS UNDER $500,0,N KINGSHIGHWAY BLVD / WEST PIN,38, , ,887329.6,1022870
18-030424,2018-07,7/3/2018 7:38,51112,5,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED,711,N EUCLID AVE,53,711,EUCLID,888503.4,1026317
18-030422,2018-07,7/3/2018 8:00,69602,5,"LARCENY-ALL OTHER $500 - $24,999",1025,HODIAMONT AVE,48,1025,HODIAMONT,878962,1029871
18-030400,2018-07,7/3/2018 8:00,63701,2,LARCENY-SHOPLIFT UNDER $500,6574,MANCHESTER AVE,10,6004,MANCHESTER,877400,1014437
18-030457,2018-07,7/3/2018 8:00,64711,5,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,4330,OLIVE ST,38,4330,OLIVE,891662.9,1024005
18-030401,2018-07,7/3/2018 8:08,182130,5,DRUGS-POSSESSION/HEROIN,0,CLARA AVE / RIDGE AVE,78, , ,883653.6,1032021
18-035290,2018-07,7/3/2018 8:28,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4007,SHAW AVE,27,4007,SHAW,892136,1013335
18-031433,2018-07,7/3/2018 8:32,112010,2,FRAUD-CREDIT DEVICE/OVER $150,4222,FOLSOM AVE,28,4222,FOLSOM,890550.4,1015048
18-030405,2018-07,7/3/2018 8:40,31111,6,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,1000,BITTNER ST,74, , ,896672.2,1047420
18-030415,2018-07,7/3/2018 8:40,178200,4,SEX OFFNS-EXPOSURE/EXPOSING PERSON,1200,N 13TH ST,61,1200,13TH,0,0
18-030408,2018-07,7/3/2018 8:42,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6300,LALITE AVE,76,6300,LALITE,888123.9,1045206
18-031987,2018-07,7/3/2018 9:00,64701,3,LARCENY-FROM MTR VEH UNDER $500,909,RUSSELL AVE,21,909,RUSSELL,904290.5,1009989
18-032012,2018-07,7/3/2018 9:00,69702,1,LARCENY-ALL OTHER UNDER $500,3910,LOUGHBOROUGH AVE,4,3910,LOUGHBOROUGH,886000.6,993548.9
18-030410,2018-07,7/3/2018 9:00,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",3702,MERAMEC ST,16,3702,MERAMEC,892694.5,1000730
18-030423,2018-07,7/3/2018 9:15,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4825,CARTER AVE,69,4825,CARTER,894344.7,1037551
18-030783,2018-07,7/3/2018 9:21,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,6713,MINNESOTA AVE,1,6713,MINNESOTA,890818.9,991051.1
18-030420,2018-07,7/3/2018 9:24,63701,2,LARCENY-SHOPLIFT UNDER $500,4255,HAMPTON AVE,8,4255,HAMPTON,878653.4,1004650
18-031486,2018-07,7/3/2018 9:24,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4255,HAMPTON AVE,8,4255,HAMPTON,878653.4,1004650
18-030409,2018-07,7/3/2018 9:25,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL,0,BRANCH ST / N FLORISSANT AVE,65, , ,904705.1,1028382
18-030413,2018-07,7/3/2018 9:27,265321,2,LEAVING SCENE OF ACCIDENT,1420,HAMPTON AVE,41, , ,880916,1016337
18-030412,2018-07,7/3/2018 9:30,51122,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,5430,GOODFELLOW BLVD,76,5430,GOODFELLOW,889025.7,1046511
18-030455,2018-07,7/3/2018 9:30,65701,4,LARCENY-MTR VEH PARTS UNDER $500,1516,N 17TH ST,60,1516,17TH,906156.3,1023039
18-030481,2018-07,7/3/2018 9:30,64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",1,GOVERNMENT DR,82,1,GOVERNMENT,880639.5,1020186
18-030430,2018-07,7/3/2018 9:34,51122,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4290,NATURAL BRIDGE AVE,56,4294,NATURAL BRIDGE,896305.4,1032196
18-030425,2018-07,7/3/2018 9:37,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1485,ARLINGTON AVE,78, , ,885532.6,1031795
18-030416,2018-07,7/3/2018 9:51,266400,1,PUBLIC ORDER-ANIMAL VIOLATION,0,S BROADWAY / ELWOOD ST,1, , ,893502.7,992768.8
18-030427,2018-07,7/3/2018 10:00,63701,1,LARCENY-SHOPLIFT UNDER $500,6155,S GRAND BLVD,1,6155,GRAND,889468,994413.8
18-035342,2018-07,7/3/2018 10:00,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,6155,S GRAND BLVD,1,6155,GRAND,889468,994413.8
18-030985,2018-07,7/3/2018 10:00,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,56,PRODUCE ROW,64,56,PRODUCE,908842,1027266
